,services,popularity,category
651,Front seat adjuster replaced,2,miscellaneous
652,Front spoiler replaced/repaired,2,miscellaneous
653,Front suspension checked,2,miscellaneous
654,Front window regulator(s) replaced,2,miscellaneous
655,Front window run channel replaced/repaired,2,miscellaneous
656,Fuel filler hose/pipe replaced,2,miscellaneous
657,Fuel pressure regulator replaced,2,miscellaneous
658,Fuel tank removed and reinstalled,2,miscellaneous
659,Gearshift indicator adjusted,2,miscellaneous
660,Glow plug(s) replaced,2,miscellaneous
661,GPS removed,2,miscellaneous
662,Heater control valve replaced,2,miscellaneous
663,Heater hose(s) replaced,2,miscellaneous
664,Hood deflector installed,2,miscellaneous
665,Hood insulator replaced,2,miscellaneous
666,Idle control valve/motor replaced,2,miscellaneous
667,Induction system checked,2,miscellaneous
668,Inner tie rod(s) replaced,2,miscellaneous
669,Inspection completed,2,miscellaneous
670,Interior lights checked,2,miscellaneous
671,Interior roof console replaced,2,miscellaneous
672,Leather installed,2,miscellaneous
673,Left front seatbelt buckle replaced,2,miscellaneous
674,Left front window regulator replaced,2,miscellaneous
675,Left front window switch replaced,2,miscellaneous
676,Left window regulator replaced,2,miscellaneous
677,Liftgate/tailgate support strut(s) replaced,2,miscellaneous
678,Parking assist sensor replaced,2,miscellaneous
679,Parking sensor replaced,2,miscellaneous
680,PCV system checked,2,miscellaneous
681,Piston(s) replaced,2,miscellaneous
682,Power seat switch replaced,2,miscellaneous
683,Power steering cooler replaced,2,miscellaneous
684,Power window computer/module reprogrammed,2,miscellaneous
685,Quarter glass replaced,2,miscellaneous
686,Rain sensor replaced,2,miscellaneous
687,Rear crankshaft oil seal replaced,2,miscellaneous
688,Rear driveshaft replaced,2,miscellaneous
689,Rear seatbelt retractor replaced,2,miscellaneous
690,Rear strut(s)/insert cartridge(s) replaced,2,miscellaneous
691,Rear window regulator(s) replaced,2,miscellaneous
692,Rear window repaired,2,miscellaneous
693,Rear window replaced,2,miscellaneous
694,Resonator replaced,2,miscellaneous
695,Reverse light bulb(s) replaced,2,miscellaneous
696,Right sunvisor replaced,2,miscellaneous
697,Running board(s)/step(s) replaced/repaired,2,miscellaneous
698,Seat adjuster handle replaced,2,miscellaneous
699,Skid plate installed,2,miscellaneous
700,Spare tire cover installed,2,miscellaneous
701,Tailgate lock/latch repaired,2,miscellaneous
702,Timing chain tensioner/guide replaced,2,miscellaneous
703,Tow hook cover(s) installed,2,miscellaneous
704,Track bar replaced,2,miscellaneous
705,Traction control system checked,2,miscellaneous
706,Trailer hitch wiring repaired,2,miscellaneous
707,Transfer case fluid checked,2,miscellaneous
708,Transfer case module/computer replaced,2,miscellaneous
709,Transfer case removed to complete repairs,2,miscellaneous
710,Transfer case replaced,2,miscellaneous
711,Transfer selector switch replaced,2,miscellaneous
712,Transmission computer/module checked,2,miscellaneous
713,Transmission mount(s) replaced,2,miscellaneous
714,Transmission shift solenoid(s) replaced,2,miscellaneous
715,Trunk latch replaced,2,miscellaneous
716,Vacuum hose(s) replaced,2,miscellaneous
717,Vehicle reconditioned,2,miscellaneous
718,Washer fluid level sensor replaced,2,miscellaneous
719,Water separator serviced,2,miscellaneous
720,Windshield resealed,2,miscellaneous
721,120,1,miscellaneous
722,A/C and heating temperature control checked,1,miscellaneous
723,A/C and heating temperature control replaced,1,miscellaneous
724,A/C compressor serviced,1,miscellaneous
725,A/C installed,1,miscellaneous
726,A/C receiver/dryer replaced,1,miscellaneous
727,A/C relay replaced,1,miscellaneous
728,ABS fluid flushed/changed,1,miscellaneous
729,ABS modulator replaced,1,miscellaneous
730,ABS power unit replaced,1,miscellaneous
731,ABS sensor replaced,1,miscellaneous
732,Accelerator pedal replaced,1,miscellaneous
733,Adaptive cruise control checked,1,miscellaneous
734,Adaptive cruise control updated,1,miscellaneous
735,Air brakes checked,1,miscellaneous
736,Air conditioning system installed,1,miscellaneous
737,Air intake hose replaced,1,miscellaneous
738,AIR valve replaced,1,miscellaneous
739,Airbag replaced,1,miscellaneous
740,Antenna installed,1,miscellaneous
741,Armrest repaired,1,miscellaneous
742,Ashtray repaired,1,miscellaneous
743,Assist handle replaced,1,miscellaneous
744,Automatic transmission cooler flushed,1,miscellaneous
745,Axle(s) serviced,1,miscellaneous
746,Back-up camera replaced,1,miscellaneous
747,Blind spot warning sensor replaced,1,miscellaneous
748,Blower motor/compressor control module replaced,1,miscellaneous
749,Brake booster replaced/repaired,1,miscellaneous
750,Brake cable replaced,1,miscellaneous
751,Brake light switch adjusted,1,miscellaneous
752,Brake master cylinder cap replaced,1,miscellaneous
753,Brake pedal assembly replaced/repaired,1,miscellaneous
754,Brake pedal position sensor replaced,1,miscellaneous
755,Breather filter replaced,1,miscellaneous
756,Cargo cover installed,1,miscellaneous
757,Carpet replaced/repaired,1,miscellaneous
758,Carpet/floor mats secured,1,miscellaneous
759,Catalytic converter checked,1,miscellaneous
760,CD player installed,1,miscellaneous
761,Center exhaust pipe replaced,1,miscellaneous
762,Clutch cable replaced,1,miscellaneous
763,Clutch start switch replaced,1,miscellaneous
764,Coil spring(s) replaced,1,miscellaneous
765,Console replaced,1,miscellaneous
766,Console shifter trim replaced,1,miscellaneous
767,Convertible top adjusted,1,miscellaneous
768,Coolant bypass pipe/hose replaced,1,miscellaneous
769,Coolant flange replaced,1,miscellaneous
770,Cowl trim panel replaced,1,miscellaneous
771,Cranking system serviced,1,miscellaneous
772,Crankshaft pulley/balancer replaced,1,miscellaneous
773,Cruise control switch replaced,1,miscellaneous
774,Dash switches checked,1,miscellaneous
775,Dash trim panel replaced/repaired,1,miscellaneous
776,Daytime running lights checked,1,miscellaneous
777,Deck/tailgate lock actuator replaced,1,miscellaneous
778,Differential cover resealed,1,miscellaneous
779,Differential replaced,1,miscellaneous
780,Differential seal(s) replaced,1,miscellaneous
781,Dipstick replaced,1,miscellaneous
782,Distributor cap replaced,1,miscellaneous
783,Dome light bulb replaced,1,miscellaneous
784,Door check replaced,1,miscellaneous
785,Door glass adjusted,1,miscellaneous
786,Door glass replaced,1,miscellaneous
787,Door hinge replaced,1,miscellaneous
788,Door jamb switch replaced,1,miscellaneous
789,Drive belt idler pulley replaced,1,miscellaneous
790,DVD player installed,1,miscellaneous
791,Electrical sys. serviced,1,miscellaneous
792,Electrical system serviced,1,miscellaneous
793,Emissions system hose/pipe replaced,1,miscellaneous
794,Encoder motor replaced,1,miscellaneous
795,Engine block heater serviced,1,miscellaneous
796,Engine harness replaced,1,miscellaneous
797,Engine idle/timing adjusted,1,miscellaneous
798,Engine oil filler cap/seal replaced,1,miscellaneous
799,Engine oil filter adapter replaced,1,miscellaneous
800,Engine oil pressure checked,1,miscellaneous
801,Engine replaced,1,miscellaneous
802,Engine valves adjusted,1,miscellaneous
803,Evaporator case drain hose replaced,1,miscellaneous
804,Exhaust fluid serviced,1,miscellaneous
805,Exterior light(s) repaired,1,miscellaneous
806,Filler tube/seal replaced,1,miscellaneous
807,Flywheel resurfaced,1,miscellaneous
808,Fog light switch replaced,1,miscellaneous
809,Fog lights installed,1,miscellaneous
810,Front ABS sensor assembly replaced,1,miscellaneous
811,Front crankshaft oil seal replaced,1,miscellaneous
812,Front differential pinion seal replaced,1,miscellaneous
813,Front door latch striker replaced,1,miscellaneous
814,Front end mask installed,1,miscellaneous
815,Front pump seal replaced,1,miscellaneous
816,Front seat back replaced,1,miscellaneous
817,Front seat track replaced,1,miscellaneous
818,Front seatbelt(s) replaced,1,miscellaneous
819,Front spoiler installed,1,miscellaneous
820,Front strut bearing(s) replaced,1,miscellaneous
821,Front turn signal/parking assembly replaced,1,miscellaneous
822,Fuel filler door actuator replaced,1,miscellaneous
823,Fuel injection rail seals replaced,1,miscellaneous
824,Fuel pump relay replaced,1,miscellaneous
825,Fuel pump/module repaired,1,miscellaneous
826,Fuel shutoff valve replaced,1,miscellaneous
827,Fuel system bled,1,miscellaneous
828,Fuel vent hose/filter replaced,1,miscellaneous
829,Fusible link replaced,1,miscellaneous
830,Glove box adjusted,1,miscellaneous
831,Glove box latch replaced,1,miscellaneous
832,Glow plug controller replaced,1,miscellaneous
833,Glow plug system checked,1,miscellaneous
834,GPS/Navigation module/computer checked,1,miscellaneous
835,GPS/Navigation module/computer replaced,1,miscellaneous
836,Hazard light switch replaced,1,miscellaneous
837,Headlight ballast(s) replaced,1,miscellaneous
838,Headlight dimmer switch/relay replaced,1,miscellaneous
839,Headlight switch replaced,1,miscellaneous
840,Headliner replaced,1,miscellaneous
841,Headrest replaced/repaired,1,miscellaneous
842,Heat shield removed,1,miscellaneous
843,High mount brake light repaired,1,miscellaneous
844,High voltage battery charged,1,miscellaneous
845,Hood prop rod replaced,1,miscellaneous
846,Hood release cable repaired,1,miscellaneous
847,Hood shocks replaced,1,miscellaneous
848,Idler arm replaced,1,miscellaneous
849,Ignition relay replaced,1,miscellaneous
850,Instrument panel replaced,1,miscellaneous
851,Intake air tempature sensor replaced,1,miscellaneous
852,Intake/exhaust valves replaced,1,miscellaneous
853,Intercooler checked,1,miscellaneous
854,Interior front pillar trim replaced,1,miscellaneous
855,Interior light bulb(s) replaced,1,miscellaneous
856,Lamp assembly replaced,1,miscellaneous
857,Lane departure camera adjusted,1,miscellaneous
858,Lane departure camera replaced,1,miscellaneous
859,Lane departure warning actuator replaced,1,miscellaneous
860,Left front door lock actuator replaced,1,miscellaneous
861,Left rear axle replaced,1,miscellaneous
862,Left seatbelt assembly replaced,1,miscellaneous
863,Left sunvisor replaced,1,miscellaneous
864,Left tie rod end replaced,1,miscellaneous
865,Lens replaced,1,miscellaneous
866,Liftgate/tailgate support cable(s) replaced,1,miscellaneous
867,Liftgate/tailgate trim panel replaced/repaired,1,miscellaneous
868,Lighter replaced/repaired,1,miscellaneous
869,MAP sensor replaced,1,miscellaneous
870,Marker lamp assembly replaced,1,miscellaneous
871,Mirror(s) repaired,1,miscellaneous
872,Multiplex control unit checked,1,miscellaneous
873,Neutral safety/start switch replaced,1,miscellaneous
874,Odometer reported as 133,1,miscellaneous
875,Odometer reported as 23,1,miscellaneous
876,Odometer reported as 50 kilometers,1,miscellaneous
877,Odometer reported as 60 kilometers,1,miscellaneous
878,Oil cooler line(s) replaced/repaired,1,miscellaneous
879,Oil cooler seal(s) replaced,1,miscellaneous
880,Oil filter adapter seal replaced,1,miscellaneous
881,Oil level sensor replaced,1,miscellaneous
882,Oil line/hose replaced,1,miscellaneous
883,OnStar installed/upgraded,1,miscellaneous
884,Outside door handle replaced,1,miscellaneous
885,Outside mirror switch replaced,1,miscellaneous
886,Parking brake control replaced,1,miscellaneous
887,Piston rod bearings replaced,1,miscellaneous
888,Piston rod(s) replaced,1,miscellaneous
889,Pitman arm replaced,1,miscellaneous
890,Power seat checked/repaired,1,miscellaneous
891,Radio removed,1,miscellaneous
892,Rear ABS sensor assembly replaced,1,miscellaneous
893,Rear ashtray replaced,1,miscellaneous
894,Rear axle oil seal replaced,1,miscellaneous
895,Rear brake hose(s) replaced,1,miscellaneous
896,Rear coil spring(s) replaced,1,miscellaneous
897,Rear differential replaced,1,miscellaneous
898,Rear door latch replaced,1,miscellaneous
899,Rear door molding replaced,1,miscellaneous
900,Rear seat cushion replaced,1,miscellaneous
901,Rear seatbelt assembly replaced,1,miscellaneous
902,Rear spring(s) replaced,1,miscellaneous
903,Rear suspension checked,1,miscellaneous
904,Rear wheel bearing seal replaced,1,miscellaneous
905,Rear window run channel replaced/repaired,1,miscellaneous
906,Relay replaced,1,miscellaneous
907,Reverse light switch replaced,1,miscellaneous
908,Right axle replaced,1,miscellaneous
909,Right front seatbelt buckle replaced,1,miscellaneous
910,Roof molding replaced,1,miscellaneous
911,Roof rack/luggage rack repaired,1,miscellaneous
912,Seatbelt retractor replaced,1,miscellaneous
913,Seatbelt(s) repaired,1,miscellaneous
914,Shift interlock cable/linkage replaced,1,miscellaneous
915,Shift interlock system checked,1,miscellaneous
916,Shift linkage repaired,1,miscellaneous
917,Shifter cables adjusted,1,miscellaneous
918,Short block replaced,1,miscellaneous
919,Side airbag sensors replaced,1,miscellaneous
920,Sliding door adjusted,1,miscellaneous
921,Spare tire remounted,1,miscellaneous
922,Starter relay replaced,1,miscellaneous
923,Steering knuckle(s) replaced,1,miscellaneous
924,Steering lock replaced,1,miscellaneous
925,Steering system serviced,1,miscellaneous
926,Steering wheel pad replaced,1,miscellaneous
927,Strut mount(s) replaced,1,miscellaneous
928,Sunroof adjusted,1,miscellaneous
929,Sunroof frame replaced,1,miscellaneous
930,Sunroof motor replaced,1,miscellaneous
931,Sunroof visor/deflector installed,1,miscellaneous
932,Sunroof weatherstrip replaced,1,miscellaneous
933,Tail light lens resealed,1,miscellaneous
934,Tailgate handle replaced,1,miscellaneous
935,Tailgate/hatch glass repaired,1,miscellaneous
936,Timing belt tensioner/idler replaced,1,miscellaneous
937,Torsion bar adjusted,1,miscellaneous
938,Transfer case motor replaced,1,miscellaneous
939,Transfer case seal(s) replaced,1,miscellaneous
940,Transmission cable adjusted,1,miscellaneous
941,Transmission range sensor checked,1,miscellaneous
942,Transmission range switch replaced,1,miscellaneous
943,Transmission rebuilt,1,miscellaneous
944,Truck lift gate serviced,1,miscellaneous
945,Trunk lid support(s) replaced,1,miscellaneous
946,Trunk weatherstrip replaced,1,miscellaneous
947,Turbocharger checked,1,miscellaneous
948,Turbocharger replaced/repaired,1,miscellaneous
949,Turn signal(s) repaired,1,miscellaneous
950,Turn signal/hazard flasher replaced,1,miscellaneous
951,Vacuum hose(s) repaired,1,miscellaneous
952,Vacuum system checked,1,miscellaneous
953,Valve lifters replaced,1,miscellaneous
954,Voltage regulator replaced,1,miscellaneous
955,Washer fluid reservoir cap replaced,1,miscellaneous
956,Washer nozzle(s) adjusted/repaired,1,miscellaneous
957,Washer pump module replaced,1,miscellaneous
958,Water pump gasket replaced,1,miscellaneous
959,Water separator replaced,1,miscellaneous
960,Weatherstrip replaced,1,miscellaneous
961,Wheel bearings adjusted,1,miscellaneous
962,Window molding replaced,1,miscellaneous
963,Window regulator(s) repaired,1,miscellaneous
964,Windshield molding replaced,1,miscellaneous
965,Wipers/washers repaired,1,miscellaneous
